advantage,n_random,n_fund,n_chart,n_mm_slow,n_mm_fast,time_dt,price_dt
1.0,9,4,9,1,4,43.0,0.05662903795526844
1.0,9,4,9,2,4,21.0,-0.08507180708885595
1.0,9,5,4,1,4,21.0,-0.05271869385881447
1.0,9,5,4,2,4,42.0,0.04456962587480142
1.0,9,5,5,1,4,37.0,0.0421399847455031
1.0,9,5,5,2,4,37.0,0.03353480017145822
1.0,9,5,6,1,4,22.0,-0.06325464445157011
1.0,9,5,6,2,4,31.0,-0.02883366990838061
1.0,9,5,7,1,4,30.0,0.037423227409726784
1.0,9,5,7,2,4,23.0,-0.08218924824175482
1.0,9,5,8,1,4,22.0,-0.011933001922396368
1.0,9,5,8,2,4,43.0,0.043749040223979345
1.0,9,5,9,1,4,21.0,0.03472979635156819
1.0,9,5,9,2,4,19.0,-0.09391469180665442
1.0,9,6,4,1,4,30.0,0.03146602807573389
1.0,9,6,4,2,4,46.0,0.04329494685442552
1.0,9,6,5,1,4,73.0,0.03256106433730754
1.0,9,6,5,2,4,32.0,0.030361402655471836
1.0,9,6,6,1,4,26.0,-0.04016465148558959
1.0,9,6,6,2,4,26.0,-0.04983600139451386
1.0,9,6,7,1,4,45.0,0.04042062411204412
1.0,9,6,7,2,4,27.0,-0.03500649821051116
1.0,9,6,8,1,4,20.0,-0.07149478975090369
1.0,9,6,8,2,4,24.0,-0.08181680653940292
1.0,9,6,9,1,4,22.0,-0.03660215402228138
1.0,9,6,9,2,4,37.0,0.046250623585206777
1.0,9,7,4,1,4,36.0,0.037653050924860765
1.0,9,7,4,2,4,32.0,0.04271301943960135
1.0,9,7,5,1,4,34.0,0.029558719531869126
1.0,9,7,5,2,4,38.0,0.04370498061046714
1.0,9,7,6,1,4,36.0,0.030124291667906644
1.0,9,7,6,2,4,40.0,0.04957857862682878
1.0,9,7,7,1,4,27.0,0.024748061323358512
1.0,9,7,7,2,4,39.0,0.055258981907216
1.0,9,7,8,1,4,30.0,0.07048226673634503
1.0,9,7,8,2,4,35.0,0.03338154532691889
1.0,9,7,9,1,4,29.0,0.03129298991266524
1.0,9,7,9,2,4,37.0,0.043146129038965794
1.0,9,8,4,1,4,25.0,0.007867921390032867
1.0,9,8,4,2,4,40.0,0.038086925809603586
1.0,9,8,5,1,4,32.0,0.03475775437498671
1.0,9,8,5,2,4,39.0,0.032015532260479554
1.0,9,8,6,1,4,33.0,0.03237106643265849
1.0,9,8,6,2,4,46.0,0.05386313679009038
1.0,9,8,7,1,4,32.0,0.05205151356985023
1.0,9,8,7,2,4,39.0,0.0447773220202564
1.0,9,8,8,1,4,26.0,0.017473051719090867
1.0,9,8,8,2,4,33.0,0.04310179711454486
1.0,9,8,9,1,4,27.0,0.018749632733235617
1.0,9,8,9,2,4,29.0,0.04320463109058534
1.0,9,9,4,1,4,27.0,0.025269256942623743
1.0,9,9,4,2,4,39.0,0.03943688600804711
1.0,9,9,5,1,4,32.0,0.027357417167278037
1.0,9,9,5,2,4,45.0,0.04358792239735438
1.0,9,9,6,1,4,33.0,0.045543622264786345
1.0,9,9,6,2,4,34.0,0.050680661046654606
1.0,9,9,7,1,4,36.0,0.04136402712885154
1.0,9,9,7,2,4,36.0,0.03603618805673484
1.0,9,9,8,1,4,21.0,-0.04179697594374429
1.0,9,9,8,2,4,33.0,0.0351370716027137
1.0,9,9,9,1,4,31.0,0.04318911210782262
1.0,9,9,9,2,4,33.0,0.050979977796008706
2.0,4,4,4,1,4,33.0,0.04504261958574524
2.0,4,4,4,2,4,28.0,-0.048412838810026136
2.0,4,4,5,1,4,27.0,-0.040869396675167036
2.0,4,4,5,2,4,43.0,0.043696671204526485
2.0,4,4,6,1,4,29.0,-0.04855352598746623
2.0,4,4,6,2,4,26.0,-0.02755498166604415
2.0,4,4,7,1,4,25.0,-0.04970350263168329
2.0,4,4,7,2,4,55.0,0.06379532641377801
2.0,4,4,8,1,4,29.0,-0.03092533013589685
2.0,4,4,8,2,4,20.0,-0.10223316820538578
2.0,4,4,9,1,4,32.0,-0.053564214895629354
2.0,4,4,9,2,4,17.0,-0.06667325922112863
2.0,4,5,4,1,4,41.0,0.03808686946992849
2.0,4,5,4,2,4,24.0,-0.0500753399992658
2.0,4,5,5,1,4,31.0,0.03512671031249015
2.0,4,5,5,2,4,26.0,-0.047885877501257335
2.0,4,5,6,1,4,24.0,-0.06330147470198494
2.0,4,5,6,2,4,40.0,0.04260279785848821
2.0,4,5,7,1,4,37.0,0.030740587752622384
2.0,4,5,7,2,4,24.0,-0.08779853116303102
2.0,4,5,8,1,4,24.0,-0.05979468980761225
2.0,4,5,8,2,4,32.0,0.04748037631848993
2.0,4,5,9,1,4,41.0,0.053850538290499454
2.0,4,5,9,2,4,22.0,-0.07439874645926507
2.0,4,6,4,1,4,46.0,0.03623943042105839
2.0,4,6,4,2,4,38.0,0.03788820052806513
2.0,4,6,5,1,4,22.0,0.013858622519508014
2.0,4,6,5,2,4,37.0,0.041301358122881965
2.0,4,6,6,1,4,41.0,0.025538913683570176
2.0,4,6,6,2,4,27.0,0.039195083859680145
2.0,4,6,7,1,4,41.0,0.045590436354648246
2.0,4,6,7,2,4,29.0,0.05686765625060452
2.0,4,6,8,1,4,34.0,0.021948261411348053
2.0,4,6,8,2,4,36.0,0.05684465258465967
2.0,4,6,9,1,4,31.0,0.01931044745500544
2.0,4,6,9,2,4,42.0,0.006829875295954143
2.0,4,7,4,1,4,34.0,0.0386952515336777
2.0,4,7,4,2,4,41.0,0.04012748917556661
2.0,4,7,5,1,4,28.0,0.016319473531763988
2.0,4,7,5,2,4,31.0,0.03508736281618993
2.0,4,7,6,1,4,34.0,0.0379138342564591
2.0,4,7,6,2,4,33.0,0.0253077405968211
2.0,4,7,7,1,4,35.0,0.0011314259650579645
2.0,4,7,7,2,4,40.0,0.030206738892377846
2.0,4,7,8,1,4,31.0,0.03773055110810421
2.0,4,7,8,2,4,35.0,0.04051630993444392
2.0,4,7,9,1,4,21.0,0.01965082995087657
2.0,4,7,9,2,4,34.0,0.04605173239977567
2.0,4,8,4,1,4,35.0,0.04019307100390623
2.0,4,8,4,2,4,38.0,0.03835365396285965
2.0,4,8,5,1,4,28.0,0.028539248214948968
2.0,4,8,5,2,4,28.0,0.030834502305601627
2.0,4,8,6,1,4,28.0,0.03481409902791099
2.0,4,8,6,2,4,41.0,0.03875035127558658
2.0,4,8,7,1,4,38.0,0.03367914503967431
2.0,4,8,7,2,4,31.0,0.04276349004777286
2.0,4,8,8,1,4,29.0,0.044005395489224254
2.0,4,8,8,2,4,31.0,0.029111886099771504
2.0,4,8,9,1,4,32.0,0.023874014509180645
2.0,4,8,9,2,4,37.0,0.05019010243331281
2.0,4,9,4,1,4,29.0,0.03364955439057033
2.0,4,9,4,2,4,38.0,0.042377267013511084
2.0,4,9,5,1,4,29.0,0.035773675880816605
2.0,4,9,5,2,4,33.0,0.042485217959752714
2.0,4,9,6,1,4,31.0,0.03946587641831291
2.0,4,9,6,2,4,31.0,0.03643724868624554
2.0,4,9,7,1,4,29.0,0.04593273343422618
2.0,4,9,7,2,4,29.0,0.03186845782730589
2.0,4,9,8,1,4,25.0,0.02689117564636159
2.0,4,9,8,2,4,35.0,0.044904460244716345
2.0,4,9,9,1,4,44.0,0.05815997435183279
2.0,4,9,9,2,4,29.0,0.044383295705039856
2.0,5,4,4,1,4,42.0,0.050777759167766764
2.0,5,4,4,2,4,56.0,0.044994889235259454
2.0,5,4,5,1,4,25.0,-0.047453785469394306
